id,sent0,sent1,label
1235,My electric car is yellow,My electric car is silly,1
1236,A computer is an electronic item,A computer is a natural item,0
1237,Ants are hard-working insects,Elephants are hard-working insects,1
1238,Christmas is a time for family and gifts,Christmas is a time for working all day,1
1239,In holland we do not eat much rice,In coconut we do not eat much rice,1
1240,I put my dirty clothes in the washing machine.,I put dirty utensils in the wasing machine.,0
1241,He bought new mobile with his money,He bought new mobile with his teeth,0
1242,Senior citizens are old.,Senior citizens may be young.,0
1243,"If you need a haircut, you go to a barbershop.","If you need a haircut, you go to McDonalds.",0
1244,Meals leave dishes to be washed.,Meals leave dishes to be thrown away.,1
1245,"It is Christmas, so I need to go shopping for gifts.","It is Monday, so I need to go shopping for gifts.",1
1246,Binoculars allow people to see distant objects,Microscopes allow people to see distant objects,1
1247,She took to sea in a boat.,She took to sea in a colander.,1
1248,he take shower at 8.00 am,he take hills at 8.00 am,1
1249,The pencil is in the backpack,The car is in the backpack,1
1250,My luggage was in the trunk of my car all through my trip from New York to New Jersey.,My Mother was in the trunk of my car all through my trip from New York to New Jersey.,1
1251,my brother eat vegetables,my brother eat fire,0
1252,My house is bigger than my car.,My car is bigger than my house.,1
1253,He went to the restaurant to eat.,He went to the toy store to eat.,0
1254,he took the picture with his camera,he took the picture with the calculator,1
1255,She was invited to a birthday party in a pub,She was invited to a birthday party in a kitchen,0
1256,I use a match to light the candles,I use a pot to light the candles,0
1257,He is writing a letter to a friend.,He is laughing a letter to a friend.,1
1258,The Chicken will crow at dawn.,The Dog will crow at dawn.,0
1259,He drank a full glass of lemonade,He drank a full glass of bleach,1
1260,I love watching reality shows live on Television.,I love watching reality shows live on Radio.,1
1261,The boy drove his car to school.,The boy drove his scissors to school.,1
1262,He parked a car in a small garage,He parked a truck in a small garage,0
1263,My sister drives a car to work.,My sister drives a chicken to work.,0
1264,He gave milk to the cat,He gave milk to the table,0
1265,One impairment a person might have is back pain.,One impairment a chair might have is back pain.,1
1266,HE WAS GOES TO THE  COLLEGE TO WRITE HIS SEMESTER EXAMS.,HE WAS GOES TO THE HOTEL TO WRITE HIS SEMESTER EXAMS.,0
1267,Some people has cats as domesticated animals.,Some people has tiger as domesticated animals.,1
1268,People can photograph animals with cameras.,Animals can photograph people with cameras.,0
1269,Dog is man's best friend,Dog is men's fried pan,0
1270,Potato soup is made with potatoes.,Potato soup is made with printer ink.,1
1271,my brother eat ice creams,my brother eat fridge,1
1272,My cat likes eating fish.,My fish likes eating cats.,1
1273,I went to market by car.,I went to market by my table.,0
1274,Sun is red in color,Moon is red in color,0
1275,They were travelling in a ship on the ocean,They were travelling in a plate on the ocean,0
1276,Jeff drank coffee,Jeff ate coffee,0
1277,"A person should be determined, but must know when to let go","A termite should be determined, but must know when to let go",1
1278,The man stapled some documents together.,The man stapled some houses together.,0
1279,He washed clothes in washing machine,he washed clothes in car,0
1280,The old king of Spain had many wives,The old donut of Spain had many wives,1
1281,He has ten fingers in his hands.,He has ten fingers in one hand.,0
1282,Birds like to bathe in my bird bath.,Birds like to bathe in a volcano.,1
1283,Electronics can run with electricity.,Electronics can run with water.,1
1284,We can trap a mouse using a mouse trap,We can trap a tiger using a mouse trap,1
1285,A toothbrush is used for cleaning teeth.,A television is used for cleaning teeth.,1
1286,A phone is used to send messages.,A phone is used to send clothes.,0
1287,He called his friend on the phone,He called his friend on the lightbulb,0
1288,She wrote an essay.,She ate an essay.,1
1289,He print a photo from a printer,He print a laptop from a printer,1
1290,Cows are animals and can feel pain,Rock are animals and can feel pain,0
1291,Balloons make great party decorations,Roadkill makes great party decorations,0
1292,Situation: I am eating my dinner at night,I am eating my dinner in the morning,1
1293,photographs are captured by a camera,photographs are captured by a calculator,1
1294,He likes to eat cookies,He likes to eat stones,1
1295,he was sent to jail for stealing,he was sent to restaurant for stealing,1
1296,the dog barks all day long,the cat barks all day long,0
1297,He kept TV above the chair,He kept an Helicopter above the chair,0
1298,I threw the baseball to my son.,I threw the treadmill to my son.,0
1299,He brushed his teeth with a toothbrush,He brushed his eyes with a toothbrush,0
1300,We can run daily to stay healthy.,We can fly daily to stay healthy.,1
1301,my son like to eat chocolate after meal,my son like to eat tiger after meal,0
1302,I appear to have dropped my pen,I appear to have dropped my elephant,1
1303,She placed the vegetables into the fridge.,She placed the car into the fridge.,0
1304,Movies are screened in theaters,Movies are screened in hospitals,0
1305,The dog walked in the park.,The dog walked into the sky.,0
1306,People eat cereal for breakfast,People eat bricks for breakfast,0
1307,she is a woman,she is a dragon,1
1308,He made an apple pie,He made an apple of pies,1
1309,Something might you do after eating is belching,Something might you do after eating is flying in air,1
1310,I go to university to get a bachelor's degree,I go to jail to get a bachelor's degree,1
1311,He is cutting his hair with scissors.,He is cutting his hair with knife.,1
1312,We eat lunch during the day.,We eat dinner during the day.,0
1313,I want to be a sound engineer.,I want to be a computer.,1
1314,My favorite milk is cow milk.,My favorite milk is turkey milk.,0
1315,a gun can be used for killing people,a gun can be used for feed people,0
1316,Bees make honey for their children,Bees make honey for elephants,0
1317,Licking the ground taste like dirt,Licking the ground taste sweet,1
1318,You can not breath under water without an air supply,you can not breath under water without a puppet,1
1319,A mobile telephone can make calls anywhere.,A house phone can make calls anywhere.,0
1320,Sugar is sweet in taste,Chilly powder is sweet in taste,0
1321,I brush my teeth with a toothbrush,I brush my teeth with a knife,0
1322,The man lived in a house,The man lived on the moon,1
1323,he was driving to work,he drove a helicopter to work,0
1324,she sails the lake on a boat,she sails the lake on a car,1
1325,She put shampoo on her hair to clean it.,She put jelly on her hair to clean it.,0
1326,A pastor preaches the bible,A pastor preaches the law,0
1327,She parked her car behind mine,She parked her car on top of mine,0
1328,He put gas in his car.,He put gas in his bicycle.,0
1329,Something you find in sea is fish,Something you find in sea is elephant,1
1330,It is helpful to carry an umbrella when it is a rainy day.,It is helpful to close an umbrella when it is a rainy day.,1
1331,An annulment cancels a marriage.,A party nullifies a marriage.,0
1332,There are lot of trees in a forest,There are lot of buildings in a forest,0
1333,People need water to survive.,People don't need to drink water to live.,0
1334,A band is made up of several musical components.,A band is made up of several pieces of candy.,1
1335,he went to office in bicycle,he went to office in pen,0
1336,I ran a mile,I ran a brick,1
1337,She brought two kilograms of apple to home from market,She brought two kilograms of electricity to home from market,0
1338,Cars are polluting the planet.,Cars cause nothing to the environment.,0
1339,People want to see a band perform at the superbowl,People want to see a monkey perform at the superbowl,0
1340,Baseball players use gloves to catch baseballs.,Baseball players use bubble gum to catch baseball.,0
1341,he took the boat to cross the river,he took the boat to croos the street,0
1342,"To have a conversation, you need at least 2 people.","To have a conversation, you need just one person.",1
1343,A Bird can fly.,A Fish can fly.,0
1344,The dog ate food inside the house,The dog ate the car inside the house,0
1345,He ate a big piece of cake.,He ate a big piece of paper.,1
1346,He drove his car to work.,He drove his house to work.,0
1347,He bought a drink from the shop,He bought a drink from the police station,1
1348,The sun is too hot,The sun is too cold,0
1349,The boy hit the baseball with the baseball bat.,The boy hit the baseball with the broom.,0
1350,A knife is sharp enough to cut the finger,A knife is sharp enough to cut the bricks,1
1351,There are lot of roses on the rose plant,There are lot of cats on the rose plant,1
1352,She at chicken from her chicken soup,She eat chicken from her vegetable soup,0
1353,Everyone who went to the party had something to drink.,"Everyone at the party had a drink, but some of them did not.",1
1354,Women have long hair.,men don't have hair,0
1355,He was fishing in the lake,He was fishing in the ladder,1
1356,The doctor diagnosed the patient's symptoms.,The patient diagnosed the doctor's symptoms.,0
1357,"If your want to get drunk, you must consume alcohol.","If you want to get drunk, you must consume food.",0
1358,I like to watch birds with binoculars.,I like to watch birds with washing machines.,0
1359,The ice cream melt in the sun.,The rock melt in the sun.,1
1360,My keys are made of silver,My keys are made of ice,1
1361,Water comes out of bathroom tap,Water comes out of bathroom mirror,0
1362,he was waiting to see a doctor,he ordered a doctor,1
1363,"Doctor, a person who is qualified to treat people who are ill.","Patient, a person who is qualified to treat people who are ill.",0
1364,A person who is studying at a university or other place is called student,A person who is studying at a university or other place is called teacher,1
1365,He bought a dog to a school classroom,He bought a T-Rex to a school classroom,0
1366,I ate salad for lunch.,I ate the whiteboard for lunch.,0
1367,He put the lime in the guacamole.,He put the pliers in the guacamole.,0
1368,The woman has to breastfeed her baby before going to work.,The woman has to breastfeed her Teddy before going to work.,1
1369,Restaurant is place where people come to eat food,Restaurant is place where people come to cook food,0
1370,A horse live on a farm.,A horse lives on the moon.,1
1371,She washed her shirt in a sink.,She washed her shirt in a thimble.,1
1372,One thing we do after bathing is wiping our body,One thing we do after bathing is rolling in mud,1
1373,I fell in love with my husband,I fell  in love with my colored pencils,0
1374,A cat chased killed ate the rat,A rat chased killed ate the cat,0
1375,he was sent to a hospital for treatment after becoming ill,he was sent to a restaurant for treatment after being sick,0
1376,Apartments are build for large number of family to live .,Apartments are build for a single family  to live .,1
1377,Humans are considered to be mammals.,Crocodiles are considered to be mammals.,1
1378,You may considered lucky if you win a prize.,You may considered unlucky if you win a prize.,0
1379,Something you will find in a bedroom is a bed,Something you will find in a bedroom is a car,0
1380,She hate it when the dogs start barking,She hate it when the cows start barking,0
1381,Doors are to protect us from intruders,Doors are to travel from one place to another place,1
1382,he used the match box to light the candle,he used the match box to light the pen,1
1383,The world is so vast,The world is so small,1
1384,He put the letter in the mailbox,He put the child in the mailbox,1
1385,Clouds are seen in the sky,Clouds are seen in the earth,1
1386,She grows roses in her garden.,She grows helicopters in her garden.,1
1387,She used her car to drive away from city,She used her dog to drive away from city,1
1388,He wears an apron to cook.,He wears a baboon to cook.,1
1389,Jhone cooked food to eat,Jhone cooked food to sleep,1
1390,A watch can be used to tell the time.,A potato can be used to tell the time.,1
1391,Dogs cannot eat chocolate.,Dogs can eat lots of chocolate.,0
1392,You can heat a turkey in the oven,You can heat a turkey in the freezer,0
1393,A cook uses vegetables to cook dinner.,A  lion uses vegetables to cook dinner.,1
1394,He drove his car to work.,He drove his donkey to work.,0
1395,He ate fish for dinner,He ate shampoo for dinner,0
1396,He took the dog for a walk,the dog took him for a walk,0
1397,I like going to a nail salon to paint my nails,I like going to a nail salon to paint my hairs,1
1398,He put a money into the  purse,He put a fridge into the purse,0
1399,I am walking the dog,I am walking the car,0
1400,she wears her coat when it's cold,she wears her swimsuit when it's cold,1
1401,he went to salon for hair cut,he went to restaurant for hair cut,1
1402,Liz was hungry so she made a sandwich and an apple.,Liz very hungry so she ate an whole elephant,1
1403,I ate grilled and peppered red Meat for dinner yesterday.,I ate grilled and peppered red Stone for dinner yesterday.,1
1404,I need you to print hard copies of the document using the chairman's Printer.,I need you to print hard copies of the document using the chairman's Tablet.,1
1405,People use an umbrella to keep dry when it rains,People use cups to keep dry when it rains,0
1406,When you go opposite to east you are going to west,When you go opposite to east you are going to north,0
1407,Mobile phones can be very useful.,Mobile phones is useless,0
1408,Something you might find on a menu in a restaurant is steak.,You might find diamonds on a menu in a restaurant.,0
1409,"Temple, Church and Mosque  are the places where people pray","Temple, Church and Mosque  are the places where people sleep",1
1410,The woman is very beautiful,The woman is as beautiful as a salami,0
1411,They drive the car to Chicago,They drive the car flying over Chicago,1
1412,Many criminals will get arrested soon,Many innocents will get arrested soon,0
1413,Jeff walked into the store,Jeff drove into the store,1
1414,An aeroplane is an automobile used to travel in air,An aeroplane is an automobile used to travel on road,1
1415,She told her husband she had been shopping but had not bought anything.,She told her husband she had bought something but had not done any shopping.,1
1416,you can walk like a old man,You can walk like a fish,1
1417,Tetris is a videogame,Tetris is a house,0
1418,Some animals are poisonous to humans.,Every animal is safe to touch and eat.,1
1419,People can eat tomatoes for breakfast,People can eat metal for breakfast,1
1420,The man jumped over the chair,the man jumped over the building,0
1421,She sees a bird in the sky,She sees an alligator in the sky,0
1422,his wife gave birth to a girl baby,his wife gave birth to a spoon,0
1423,I went to a computer service center to fix a problem with my computer,I went to a grocery store to fix a problem with my computer,1
1424,He put chocolate syrup on his ice cream.,He put mustard on his ice cream.,0
1425,The man had a conversation with a friend,The man has a conversation with a wall,0
1426,Lions live in Africa.,Lions live in igloos in Antarctica.,0
1427,Flowers are likely to be found in the garden.,Flowers are likely to be found in the sky.,1
1428,He fishes tuna in the sea,He fishes tuna in the supermarket,0
1429,he took money from his wallet,he took money from key,1
1430,My father gave me money to buy a new game.,My father gave me paper to buy a new game.,0
1431,He threw a baseball over the house,He threw a whale over the house,0
1432,It is inhuman declawing cats.,It is inhuman declawing babies.,1
1433,he bought a necklace for his wife's neck,he bought a bike chain for his wife's neck,0
1434,You need to bath because you look dirtier,You need to bath because you are fat,0
1435,She feeds seeds to the birds.,She feeds coins to the birds.,1
1436,My father row a boat in lake for fishing.,My father row a boat in road for fishing.,1
1437,I came home and immediately went out again.,I went out and immediately went out again.,0
1438,The boy had to buy food for his pet dog.,The boy had to buy food for his pet elephant.,0
1439,With the remote she changed the TV channel in her living room,With the remote she changed the people in her living room,1
1440,Some gardens contain flowers,Some gardens contains Dinosaurs,0
1441,She rented a new book from the library,She rented a new car from the library,1
1442,She bought a car,She ate a car,1
1443,Jose has many friends because he is sociable,Jose has many friends because he is tall,0
1444,Football is a game played using ball,Football is played using shuttle cork,0
1445,A nurse can dress a wound,A watchman can dress a wound,0
1446,Children like playing in puddles in the rain.,Children like playing with lightning in the rain.,0
1447,Jogging is healthy,Eating junk food is healthy,1
1448,The shower is used to clean his body.,The shower is to clean the air outside.,1
1449,Mark answered his phone.,Mark answered his banana.,0
1450,Caffeine is a stimulant found in coffee.,Coffee is a stimulant found in caffeine.,0
1451,They went out for breakfast and drank cappuccinos.,They went out for breakfast and drank shoes.,1
1452,Fire is dangerous.,Fire is unharmful.,1
1453,he went to school to study,he went to school to watch movies,1
1454,Chicken can lay eggs,Goats can lay eggs,0
1455,He ate an apple,He ate an apple-tree,1
1456,A chicken laid an egg,A cat laid an egg,1
1457,She put the shoe on her foot,She put the shoe on her hand,1
1458,"If you want to quench your thirst, you must drink non-alcoholic beverages.","If you want to quench your thirst, you must drink alcoholic beverages.",0
1459,he ordered chicken to eat,he ordered leather to eat,1
1460,The man rode a bicycle to work,The dog rode a bicycle to work,0
1461,he watched the television,the television watched him,1
1462,Cars use fuel to work,Cars are made of fuel,1
1463,The center of some grapes have seeds.,The center of some grapes have leaf.,0
1464,he went to the pool with swimming suit,he went to the theater with swimming suit,0
1465,HE DRINKS BLACK-TEA EVERYMORNING.,HE DRINKS HAIR-DYE EVERYMORNING.,1
1466,Custodians clean buildings at night,Custodians design buildings at night,1
1467,Some people take bath in a shower,Some people take bath in a cupboard,0
1468,You can write with a pen,You can write without a pen,0
1469,A lock is to lock down the house,A knife is to lock down the house,1
1470,The hawk flew over the car,The dog flew over the car,0
1471,"To wash dishes, just put them in the dishwasher.","To wash dishes, just put them in the oven.",1
1472,"IF you want to become fat, you have to eat more","If you want to become rich, you have to beg",1
1473,A thief stole all the golds with him and left,A police stole all the golds with him and left,0
1474,A bridge is a connection over a body of water,A bridge is a cancer over a body of water,1
1475,I just disposed my contaminated trash into the trash can.,I just disposed my contaminated trash into the frying pan.,1
1476,She planned a party.,She planned a brush.,0
1477,The police officer pulled over the car.,The police officer arrested the car.,1
1478,"My mom is the best, she cooks the best meals.","My mom is the best, she knits the best meals.",0
1479,Electric lights are used to see things during night,Electric lights are used to see sun during night,0
1480,I cooked a potato on the stove.,I cooked a potato in the sink.,1
1481,he used headphones to hear music,he used a charging cable to hear music,1
1482,A person drives a car.,A person eats a car.,1
1483,A bucket carries water.,A bucket carries a lake.,1
1484,The ocean is filled with water.,The ocean is filled with elephants.,0
1485,I will walk my dog,I will walk my house,0
1486,He put gas in his car,He put a horse in his car,0
1487,She threw the rotten meat into the trash can,She threw the live cow into the trash can,1
1488,Wheels are round.,Wheels are square.,0
1489,He called his mother with his mobile phone.,He called his mother with his toaster.,0
1490,He played a game of chess.,Chess played with his mind.,1
1491,A person can stay at a hotel while on vacation.,A person can stay at a dog while on vacation.,0
1492,He threw the glass onto the ground and it broke.,He threw the bouncy ball onto the ground and it broke.,0
1493,The door was always open,The rice was always open,0
1494,you can find paintings in art galleries,you can find groceries in art galleries,0
1495,They went to the swimming pool for a swim,They went to the bathroom for a swim,1
1496,Vaughn was a brave Knight of the round table.,Vaughn was a brave cactus of the round table.,0
1497,He washes his hands with soap.,He washes his hands with dirt.,0
1498,He went to the grocery store to buy Apples,He went to the grocery store to buy a red car,0
1499,She read a book.,She read a fish.,0
1500,He lifted a small barbell.,He lifted a moose.,1
1501,She put the clothes in the washing machine.,The dog put the clothes in the washing machine.,0
1502,money makes rich men,water makes rich men,0
1503,If you want to set a cup on a table then you should have a table.,If you want to set a cup on a table then you should have a tree.,0
1504,Going to the zoo is a fun activity for the family.,Letting the children wander on their own in the jungle is a fun activity for the family.,1
1505,The dog runs in the yard.,The dog leaves the yard.,0
1506,water poured through the tap,stones poured through the tap,1
1507,He's cleaning his clothes in the washing machine,He's cleaning his clothes in the dishwasher,0
1508,I didn't want to go to class because I didn't study.,I didn't want to go home because I didn't study.,0
1509,The cat climbed up the tree,the rock climbed up the tree,0
1510,Homosexuality is a naturally occurring sexual orientation.,Homosexuality is socially fabricated and made-up.,0
1511,He put a whole chicken in the microwave.,He put a whole ostrich in the microwave.,1
1512,She went to the hairdresser to have her hair cut,She went to the butcher to have her hair cut,1
1513,You are likely to find books in a library,You are likely to find rivers in a library,0
1514,Babies are cute.,Babies are good public speakers.,0
1515,She fed her baby milk,She fed her baby plastic,1
1516,Trucks are used to carry many things,Trucks are used to fly,0
1517,They put the dog into the kennel.,They put the dinosaur into the kennel.,0
1518,She dyed her hair purple.,She died her hair purple.,1
1519,I brought my dirty clothes to the laundromat.,I brought my dirty clothes to the store.,1
1520,He gave a biscuit to the cat,He gave a nail to the cat,1
1521,he carried the baby in his arms,he carried a car in his arms,1
1522,I live in a house.,I live inside a cactus.,0
1523,He went to the doctor because he was sick,He went to the dentist because he was sick,0
1524,You can start a fire if you light a match.,You can start a fire if you boil water.,0
1525,Hannah was late to school because she missed the bus.,Hannah was late to school because she missed the helicopter,0
1526,Kevin stomped his foot.,Kevin threw his foot.,0
1527,Ice cream is cold,Ice cream is hot,0
1528,You would fly a kite because you want have fun,You would fly a cat because you want have fun,1
1529,Laces can secure a shoe.,Chains can secure a shoe.,1
1530,I used a credit card to pay for lunch.,I used a bill to pay for lunch.,1
1531,He likes to read books.,He likes to read desks.,1
1532,Yams are vegetables,Hammers are vegetables,1
1533,She took a stained cloth for washing,She took a fresh cloth for washing,1
1534,ice is made in the freezer,ice is made in the oven,1
1535,He watched an athlete race a runner.,He watched a leopard race a runner.,0
1536,She flew the big gray aircraft to Texas,She flew the big gray tractor to Texas,0
1537,he used batteries in torch,he used eraser in torch,0
1538,The earth is mostly covered in water.,The earth is mostly covered in land.,0
1539,He scrolls down the web page using mouse.,He scrolls down the web page using mice.,0
1540,He eats a banana in the evening,He eats a pen in the evening,1
1541,The man drove the car,The man drove the pig,0
1542,I climbed the tree to  pick the apple,I climbed the flower to pick the apple,1
1543,She bought her neighbor's red car.,She bought her neighbor's child.,1
1544,Humans use oxygen to breathe,Humans use carbon dioxide to breathe,1
1545,Eighty years old is a mighty old age to be.,Eighty seconds old is a mighty old age to be.,1
1546,A necklace is worn around a neck.,A bracelet is worn on top of a head.,1
1547,He drove a car onto the boat.,He drove a car into the ocean.,1
1548,he took his dog to a vet for treatment,he took his dog to a chef for treatment,1
1549,I had chicken nuggets for lunch.,The chicken had human for lunch,0
1550,Playing guitar is making music,Playing guitar is making pizza,1
1551,the sun shines by day,the sun shines at night,1
1552,he caught a ball in his hands,he caught a car in his hands,1
1553,Highlighters can have different colors.,Highlighters can only be yellow.,1
1554,A man is walking aside me.,A whale is walking aside me.,0
1555,It was too windy so she closed the window.,It was too windy so she opened the window.,0
1556,People go to movie theaters to watch movies.,People go to movie theaters to swim.,0
1557,he defended himself with a gun,he defended himself with a blueberry,1
1558,Hot tea produces steam.,Couches produce steam.,1
1559,I use the computer mouse with my right hand.,I use the computer mouse with my molar teeth with my mouth wide open.,1
1560,Sally used her umbrella to protect herself from the rain.,Sally used her socks to protect herself from the rain.,1
1561,He had a pet dog,He had a pet dinosaur,0
1562,stealing a lot of merchandise can land a person in jail,buying a lot of merchandise can land a person in jail,1
1563,She placed the blanket over her child,She placed the blanket over the state.,1
1564,She walked her dog to the park,She flew her dog to the park,1
1565,Mary ate an orange.,Mary ate a rock.,0
1566,You are likely to find a ferret in a burrow.,You are likely to find a ferret in a candy house,1
1567,Testosterone is a hormone found in men.,Estrogen is a hormone also found in men.,0
1568,Jhoney step in to a saloon to cut his hair,Jhoney step in to a saloon for eating food,0
1569,He checked his watch to see the time.,He checked his sunglasses to see the time.,1
1570,Cowboys used to ride their horses in the mountains,Cowboys used to ride their bears in the mountains,1
1571,he grew vegetable in the pot,he grew vegetable in the paper,0
1572,His house burned down when the lightning stuck during thunderstorm,His house got flooded when the lightning stuck during thunderstorm,0
1573,School is an institution for educating children,School is an institution for accomodation,1
1574,Children are more vulnerable than adults.,Children are more independent than adults.,1
1575,Eggs come from chickens,Eggs come from mammals,1
1576,My sister went to a concert to watch her favorite idol sing,My sister went to a concert to watch her favorite cat sing,1
1577,Trains travel on tracks.,Trains track your browsing history.,1
1578,He went restaurants to eat food,He went restaurants to eat book,0
1579,I brought a science book to study.,I brought a football to study.,1
1580,We drove the car on the highway.,We drove the airplane on the highway.,1
1581,I will go take a shower after I finish mowing the yard.,I will go take a shower before mowing the yard.,0
1582,people laugh in a comedy show,people cry in a comedy show,0
1583,He inserted a bullet into the gun.,He inserted a hamster into the gun.,0
1584,The dog enjoys chewing on a bone.,The dog enjoys chewing on a rock.,1
1585,I want a new computer,I want a new galaxy,1
1586,You can use a pencil to do your homework.,You can use a carrot to do your homework.,1
1587,You need to put a leash on a dog to walk them.,You need to put a earphone on a dog to walk them.,1
1588,mountain bears eat salmon,lions eat salmon,1
1589,He picks his 7-years kid from school regularly.,He picks his 7-years kid from pub regularly.,1
1590,You are likely to find a sidewalk in a mall.,The mall is likely to find you on a sidewalk.,1
1591,I ate a pickle.,I ate a dumbell.,1
1592,It is colder in Alaska than Hawaii.,It is warmer in Alaska than Hawaii.,1
1593,A cell phone is used to make calls.,A wall clock is used to wash vessels.,0
1594,last night she slept on the bed,Last night she slept on the fan,0
1595,I wrote a letter with a pen.,I wrote a letter with a ruler.,1
1596,You can find bananas in a supermarket,You can find a giraffe in a supermarket,1
1597,Bob turned on the TV with the remote.,Bob turned on the TV with his old land line phone.,0
1598,She stuck the key in her car to start the engine.,She stuck the flamingo in her car to start the engine.,0
1599,She packed her suitcase with clothes.,She packed her chicken with clothes.,0
1600,The man drove all the way to Arkansas.,The baby drove all the way to Arkansas.,0
1601,Candace is stoned because she smoked weed,Candace is stoned because she smoked a giraffe,1
1602,Children like to play with yo yos,Children like to play with sharks,0
1603,He played football with his friend,he played football with his bike,0
1604,Classical music is calm,Classical music is easy to learn,1
1605,The ocean levels rise after ice melts from the poles.,The ocean levels rise after ice freezes from the poles.,0
1606,He had cakes for dessert.,He had stone for dessert.,1
1607,He put his wallet in his coat pocket.,He put his car in his coat pocket.,1
1608,Watch is a time seeing thing,Watch is a food thing,0
1609,He put the dirty clothes in the washing machine,He put the dirty clothes in the refrigerator,1
1610,"To make lemonade, you have to start with lemons","To make lemonade, you have to start with onions",0
1611,Eagles have feathers.,Dogs have feathers.,0
1612,A woman eats a chocolate cookie,A woman eats a plastic cookie,1
1613,Donalt Trump is President of the United States,Donald Trump is the Prime Minister of the UK,1
1614,I drink coffee.,I drink a football,0
1615,Whenever I feel pressed I go to the bathroom to urinate.,Whenever I feel pressed I go to the kitchen to urinate.,1
1616,he ordered sandwich from the restaurant,he ordered sandwich from the saloon,1
1617,Italian pizza is well-known around the world,Chinese pizza is well-known around the world,0
1618,People wear shoes on their feet,People wear shoes on their head,0
1619,I had a flat tire on my bicycle.,I had three flat tires on my bicycle.,0
1620,The nurse cared for the sick patient,The nurse cared for the healthy patient,0
1621,He ordered a chicken sandwich for lunch.,He ordered a cat sandwich for lunch.,0
1622,Fire is hotter than ice.,Ice is hotter than fire.,1
1623,Election is the process of selecting our leader,Election is the process of selecting a criminal,0
1624,The whole noise around made her frustrated,The whole noise around made her happy,0
1625,the gun made a loud sound when he fired it.,The gun made laughing noises when he fired it,1
1626,He switched on the water heater,He ate the water eater,0
1627,the prisoners are in a cell,the prisoners are in the clouds,0
1628,Apples grow in a tree,Pineapples grow in a tree,0
1629,I will walk to the next building,I will fly to the next building,1
1630,They drove the car on the road,The drove the car on the water,0
1631,he wore his hiking boots and went hiking,he wore his ice skates and went hiking,1
1632,He is baking cake in the oven.,He is baking cake in the fridge.,1
1633,The cat is eating cat food.,The cat is eating dog food.,0
1634,He stuck the ice cream in the freezer before it melted.,He stuck the cat in the freezer before it melted.,1
1635,He kicked the ball into the goal.,He kicked the goal into the ball.,0
1636,Earplugs can help block out unwanted noise.,Earplugs can help enhancing unwanted noise.,0
1637,The chair is made for sitting in.,The chair is made for standing in.,0
1638,I was feeling drunk because I drank too much beer.,I was feeling drunk because I drank too much water.,0
1639,I put ice cream in the freezer.,I put smartphone in the freezer.,1
1640,He typed the document on his PC,He typed the document on his bag,1
1641,He cooked a chicken for dinner,He cooked a lion for dinner,1
1642,Carpets are sold at carpet stores.,Carpets are sold in restaurants.,0
1643,My dad eats a pineaple every day in evening,My dad eats a table every day in evening,1
1644,The grocer took oil down from a shelf.,The grocer took munchkins down from a shelf.,1
1645,He put a fish in an aquarium.,He put a cow into an aquarium.,1
1646,I bought groceries at the store.,I bought groceries at the bank.,1
1647,Comic book movies are extremely profitable now.,Comic book movies are extremely unpopular now.,0
1648,She walks her dog.,She walks her fish.,0
1649,She put an apple pie in the over to bake.,She put a cotton pie in the oven to bake.,0
1650,He went to the store to buy gum and took out his wallet.,He went to the store to buy gum and took out his chinchilla.,1
1651,a knife can be used for cutting,a knife can be used for sleeping,0
1652,The children went to recess after their test.,The children went bungee jumping after their test.,1
1653,He drank two cups of milk.,He drank 10 cups of larva,0
1654,His car's top speed is 185 kilometers per hour.,His elephants speed is 185 kilometers per hour.,0
1655,She read a book,She read a brick,1
1656,A grenade works through explosive detonation.,A grenade travels through explosive propulsion.,0
1657,DJ surfs on a Tropical Ocean.,DJ surfs on a snowy mountain.,1
1658,The doctor adviced him to keep exercising to stay healthy.,The doctor adviced him to keep smoking to stay healthy.,0
1659,I like to eat cotton candy.,I like to eat cotton from plants.,0
1660,he did a portrait painting on paper,He did a portrait painting on water,0
1661,She ate black beans,She ate big rocks,0
1662,The dog chewed on the bone,the giraffe chewed on the bone,0
1663,"Usually when someone thinks of a tossed salad, they think of a mixture of vegetables and some sort of salad dressing","Usually when someone thinks of a tossed salad, they think of a group of goats, sheep, and donkeys.",0
1664,I had to wash the shirt because is was full of dirt.,I had to fold the shirt because it was full of dirt.,1
1665,Five finger shoes have five fingers for your toes.,Five finger shoes have 20 fingers for your toes.,0
1666,he took notes in his notebook with pen,he took notes in his notebook with spoon,0
1667,Fiber helps people poop.,A walrus helps people poop.,1
1668,cats have furry bellies,the cat wore a monocle,0
1669,I hear the music,the music hear me,0
1670,I went to the mall to do my Christmas shopping.,I went to the park to do my Christmas shopping.,0
1671,I put a large pizza in the oven.,She put a small monkey in the oven.,0
1672,I was happy to be able to sit in my chair.,I was happy to be able to sit on my television.,0
1673,Shoes go on your feet,Shoes go on your hands,1
1674,"Bobbi, a small girl, took an airplane to Germany.","Bobbi, a small girl, took a condor to Germany.",1
1675,The girl hit a home run,The girl hit home and it ran,1
1676,You might enjoy a massage,You might enjoy a wound,1
1677,The dog drank water,The dog drank a pillow,1
1678,A girl crocheted a blanket with yarn.,A girl crocheted a blanket with leaves.,1
1679,she was admitted in the hospital due to viral fever.,she was admitted in a University because of viral fever.,1
