id,sentence,label
6371,Grandpa caught a blue whale,1
6372,Performer holding a steel rod to walk the tightrope,0
6373,Mother puts clothes in the washing machine,0
6374,He broke his basketball,1
6375,Photographer taking photos with camera,0
6376,I put my clothes on the balcony.,0
6377,Tom just went to Mars for a tour,1
6378,Jim found gold in the desert.,0
6379,Monkeys can fly,1
6380,Rainbow is produced on sunny days,1
6381,He grabbed a dinosaur from the doll machine,1
6382,3d printing can print people,1
6383,You can call on land,0
6384,The teacher taught the rabbit to talk,1
6385,Alcohol can make you more powerful,1
6386,Crocodile cubs can eat milk,1
6387,I jump high because I have good jumping ability.,0
6388,You don't feel hot because the sun itself is low,1
6389,Calendar can change the number of days,1
6390,Practicing English allows you to communicate with foreigners,0
6391,He live in a mansion,0
6392,You can break the chopsticks,0
6393,Seagulls can eat blue whales,1
6394,Thermometer can measure temperature,0
6395,People can raise lions in the water tank,1
6396,I am traveling by turtle.,1
6397,The grass is covered with gold,1
6398,The desk lamp illuminates the room,1
6399,Robots can talk,0
6400,Noodles are made of flour,0
6401,I shot a tiger with a gun.,0
6402,Rose is blossoming,0
6403,Rabbit sprays out venom,1
6404,Squeeze the iron on the bread,1
6405,Hair can be made into a brush,0
6406,The pen needs to absorb oil,1
6407,There is cloud in the sewer,1
6408,Fireflies can shine,0
6409,Dad lights water,1
6410,He is giving a massage to the customer,0
6411,He pierced the board with glass rod,1
6412,Leaves grow on the tigers,1
6413,He put stars into the pot,1
6414,Monkey climbs the tree,0
6415,I put a phone in my pocket.,0
6416,Dad is surfing on the desert,1
6417,He lit the cigarette with water,1
6418,The seagull caught a whale,1
6419,He picked bamboo from the tree,1
6420,He is lying on the lake,1
6421,Water spray gun can barbecue,1
6422,Mosquito coil can kill mosquitoes,0
6423,Pete is listening to music with headphones,0
6424,Kevin is shaving with a razor,0
6425,This cat is eating fish,0
6426,He hit the gun target with a tank,1
6427,Flytrap can catch flies,0
6428,You can plant lotus on the ground,1
6429,You can get barbecue in the book.,1
6430,Mary stayed at home for ten days.,0
6431,Mother is using a gas stove to porridge,0
6432,I am washing my hands with oil.,1
6433,Uncle saw an elephant on the street,0
6434,She woke up at twenty five o'clock today.,1
6435,He was scratched by the blade,0
6436,Lumberjack cuts trees with an axe,0
6437,Squirrel coarse storage of pine nuts for winter,0
6438,Eagle catches lions as food,1
6439,Someone can pick up darts by hand,0
6440,Dad is riding at sea,1
6441,He has some stones for breakfast every day.,1
6442,I often drink some peanut oil in the afternoon.,1
6443,She often rides a bird to school.,1
6444,Tom uses a microwave oven to call me.,1
6445,Mary has dinosaurs to play with.,1
6446,Linda does her homework by hand.,0
6447,Water is for drinking.,0
6448,Peanuts can be used to extract oil.,0
6449,Refrigerators can freeze.,0
6450,We can cook in the toilet.,1
6451,Spoons are used for soup.,0
6452,Paper can be used as a mirror.,1
6453,Baby combs his hair with a comb.,0
6454,Flour supplements calcium in human body.,1
6455,Cream can be used to protect against ultraviolet rays.,1
6456,A sphere has six faces.,1
6457,Cut down trees with an axe.,0
6458,The remote control charges the cell phone.,1
6459,Facial mask moisturizes the face.,0
6460,The umbrella sheltered us from the rain.,0
6461,Masks can block the haze.,0
6462,Nose can be used to see things.,1
6463,Cut paper with glue.,1
6464,Cameras can be used to take pictures.,0
6465,Masks can help us see things.,1
6466,Hand cream protects our hands.,0
6467,Screens can keep out the wind.,1
6468,I put my clothes in the wardrobe.,0
6469,The dog barks to show its kindness to its owner.,1
6470,He who does not eat dies.,0
6471,Mobile phones will explode without charging.,1
6472,Southerners like to eat rice.,0
6473,We can use tablets to learn.,0
6474,Ducks can fly.,1
6475,Rabbits love to eat carrots.,0
6476,Ice cream melts when heated.,0
6477,People yawn when they are tired.,0
6478,Automatic pencil can replace lead core.,0
6479,The sun rises in the morning.,0
6480,Astronauts wear spacesuits in space.,0
6481,The moon revolves around the sun.,1
6482,Dragonflies are attracting the opposite sex.,1
6483,Basketball is played by hand.,0
6484,We use the mouse to enter text.,1
6485,It is said that Santa Claus will give gifts on Lantern Festival.,1
6486,Lotus blossoms in summer.,0
6487,Lotus is the flower that lives on land.,1
6488,Plants can absorb carbon dioxide.,0
6489,Panda is China's national treasure.,0
6490,We need to take an umbrella when it rains.,0
6491,Rainbows come in seven colors.,0
6492,Fireflies glow in the dark.,0
6493,Snails change their shells many times in their lives.,1
6494,Flowers turn yellow in autumn.,1
6495,Hippos live in the deserts.,1
6496,Tadpoles grow into butterflies.,1
6497,We wash dishes with detergent.,0
6498,Silver can be used as a thermometer.,1
6499,Water-splashing Festival is a Tibetan festival.,1
6500,The Potala Palace is a famous building in Tibet.,0
6501,Einstein invented the light bulb.,1
6502,Bears hibernate in winter.,0
6503,Mosquitoes bite and suck blood.,0
6504,Tulip is the national flower of Holland.,0
6505,Pens can be filled with ink.,0
6506,Xiao Ming measures the length with a ruler.,0
6507,Cucumber juice is red.,1
6508,Mother works in the box.,1
6509,Dad goes to work by subway.,0
6510,My brother goes to school with firecrackers on his back.,1
6511,The teacher assigns homework to the students.,0
6512,Mary is walking her dogs.,0
6513,Bob bathed in water.,0
6514,The teacher is correcting the homework.,0
6515,The mother tongue of Chinese is Chinese.,0
6516,Tattoos are traditional Chinese cuisine.,1
6517,We wear cotton jackets in winter.,0
6518,My uncle picks fruit in autumn.,0
6519,Kevin took the dog to the rocket.,1
6520,Daisy put the food in the air conditioner.,1
6521,Joan soaked the tea in water.,0
6522,People with colds need the dishcloth to wipe their noses.,1
6523,The steak is cooked in a pan.,0
6524,George wore a pyjamas to work.,1
6525,Grandma knits with clouds.,1
6526,Programmers use computers to program.,0
6527,Aunt folded up the glass.,1
6528,Plastic bags can be waterproof.,0
6529,Girls use toilet paper to remove makeup.,1
6530,Ancient people used stoves for heating in winter.,0
6531,Normal people drink eight glasses of drinks a day.,1
6532,People brush their teeth with a comb every day.,1
6533,Birds like to eat bones.,1
6534,Ancient people used donkeys to grind.,0
6535,Bees go out gather pollen to make honey.,0
6536,The crow sings very well.,1
6537,The courier delivered the goods to his home.,1
6538,The translator translated the speech to the audience.,0
6539,The architects designed and built the downtown building.,0
6540,Traffic police stand guard at the crossing.,0
6541,Teachers cleaned the roadside.,1
6542,The conductor is selling goods to customers.,1
6543,Roses are sent on Valentine's Day.,0
6544,A belt is used to tie the waist.,0
6545,A strong wind kills people.,1
6546,People bitten by dogs need to break the cold vaccine.,1
6547,Gloves protect your feet from being worn out.,1
6548,Books record what happens every day.,1
6549,The ship ran on the road.,1
6550,I wipe my hair with a quilt.,1
6551,The glasses are in the glasses box.,0
6552,Milk can refresh people.,1
6553,Coffee beans are used to grind coffee.,0
6554,Flower tea is fermented tea.,1
6555,Sugar can make vegetables salty.,1
6556,The wool is used to transmit electricity.,1
6557,Squids live in rivers.,1
6558,Strawberries grow on trees.,1
6559,Wool comes out of sheep.,0
6560,Curtains can keep out the sun.,0
6561,The steel film can protect the screen of mobile phone.,0
6562,Earthworms breathe through their skin.,0
6563,Girls tie their hair with wires.,1
6564,Plastic bottles can hold boiling water.,1
6565,The singer sings with his feet.,1
6566,The doctor listened to the heartbeat with a remote control.,1
6567,The nurse injected the patient with a bandage.,1
6568,The tailor makes clothes with a sewing machine.,0
6569,The stewardess works on the plane.,0
6570,The cook stirs the dishes with a shovel.,0
6571,The barber cut his hair with scissors.,0
6572,Charger can be used to listen to music.,1
6573,The car ran on the railway.,1
6574,Linda puts the clothes in the washing machine.,0
6575,Lip gloss can make lips red.,1
6576,"There are lions, elephants and tigers in the zoo.",0
6577,There are geese in the sky.,0
6578,Pilots drove the tank.,1
6579,Family teachers teach children.,0
6580,The cameraman made up the actors.,1
6581,The washing machine can be used to heat food.,1
6582,The mat can be used to keep warm.,1
6583,Toothpaste can be used to brush teeth.,0
6584,Mineral water can be used to blow bubbles.,1
6585,Tablets can cure diseases.,0
6586,The lid can prevent water from leaking.,0
6587,Potato chips are made of potatoes.,0
6588,The powder box can be used to put glasses.,1
6589,Tricycles run on the highway.,1
6590,Bicycles run on non-motorized lanes.,0
6591,Ice block protects the hand from frostbite.,1
6592,The lock needs a key to open.,0
6593,Ancient accountants needed a calculator to settle accounts.,1
6594,Lawyers use the force to sue.,1
6595,Reporters use cups to interview.,1
6596,The painter draws with his hair.,1
6597,Pianists use their tongue to play the piano.,1
6598,Sculptors use cotton swabs to sculpt.,1
6599,The typist typed with a keyboard.,0
6600,The bartender mixes wine with his mouth.,1
6601,Bob is blaming others.,0
6602,He watered the flowers with water,0
6603,Ton feeds tigers with bamboo,1
6604,Sam sewed his clothes with a needle,0
6605,He refrigerated himself with heating,1
6606,He pushed the house by hand,1
6607,Wrtyuio packed his clothes in a wardrobe.,0
6608,He eats food.,0
6609,People eat with tableware,0
6610,People plant stones in the land.,1
6611,Crocodiles in the desert,1
6612,Whales in the sea,0
6613,Tigers eat meat,0
6614,People are cooking,0
6615,He clipped the elephant with chopsticks,1
6616,Bob cut vegetables with a knife,0
6617,Gloves protect the feet,1
6618,He's playing with a computer.,0
6619,Bob is driving.,0
6620,tiger is eating vegetables,1
6621,Dolphins combing their hair,1
6622,dog is pushing the box.,1
6623,He's wearing shoes.,0
6624,Pandas drink water from cups,1
6625,gardener is pruning the flowers and plants.,0
6626,Bob is revising his composition,0
6627,He washed his feet in a cup of water,1
6628,He clings to the tree with a stick,1
6629,stopper is at the mouth of the bottle.,0
6630,Human Respiratory Gas,1
6631,He looks at the scenery with chopsticks,1
6632,Mouse is made of plastic,0
6633,People fight with guns,0
6634,The sun shines on the earth,0
6635,Refrigerators cook food,1
6636,People eat with their mouths,0
6637,He cut his hair by hand,1
6638,Saving electricity is beneficial to the environment,0
6639,He's reciting words.,0
6640,Snake is doing homework,1
6641,Teachers teach students,0
6642,They are fighting.,0
6643,They are running in a race.,0
6644,Ants in the exam,1
6645,The sun is speaking.,1
6646,pliers are repairing the air conditioner,1
6647,bottle is peeping at others.,1
6648,He's cleaning.,0
6649,Yiui's turning over the wall.,0
6650,Students are playing basketball.,0
6651,Students are cheating,0
6652,Mobile phones are moving tables,1
6653,He lost his hair.,0
6654,Clothes breathing,1
6655,Bob's drinking protein powder.,0
6656,The computer is playing movies.,0
6657,Boys have a crush on girls,0
6658,He's eating mutton.,0
6659,Apple is a national brand,1
6660,Bicycle control computer,1
6661,Stone is fighting,1
6662,Tom charged it with wood.,1
6663,Gasoline can burn.,0
6664,Hong Kong is Chinese,0
6665,dog is taking pictures.,1
6666,Tom's breathing air.,0
6667,Stone invented air conditioning,1
6668,Ants are building houses.,1
6669,Bob's pulling out his ears.,0
6670,Monkeys are playing games.,1
6671,Sleeping pills help refresh,1
6672,sea is salty.,0
6673,Coal is a Clean Energy,1
6674,Coke makes people fat,0
6675,Dolphins cutting their nails,1
6676,Lions make shoes,1
6677,He eats with chopsticks,0
6678,Teachers should select class representatives.,0
6679,Stone are quarrelling,1
6680,bucket sits on the chair.,1
6681,Stone is swimming,1
6682,Mimi's switching his pen.,0
6683,Wood is reading the text aloud.,1
6684,Iron bar is correcting work,1
6685,Machines are producing parts,0
6686,Bosses hire contract,1
6687,Schools should pay tuition fees,1
6688,Sam is writing.,0
6689,Stone can blossom,1
6690,table needs electricity.,1
6691,Sam raised the mountains.,1
6692,He's peeling eggshells.,0
6693,Bear invented the light bulb,1
6694,Presbyopia is convex lens,0
6695,Hat strapped to the feet,1
6696,Lions are eating meat,0
6697,Sam is watching variety shows on stones,1
6698,Tin plays football with his feet.,0
6699,Tom bathed in magma.,1
6700,People can predict earthquakes.,1
6701,Gasoline is Human Energy,0
6702,Basketball was invented by monkeys,1
6703,moon revolves around the sun,1
6704,Cars should pass at red lights,1
6705,Peaches grow on trees,0
6706,People drink seawater,1
6707,Sam used water to put out the fire.,0
6708,Wendy charged his cell phone with a stone,1
6709,Airplanes fly in the seawater,1
6710,Haze is a weather phenomenon.,0
6711,People keep warm with water,1
6712,He's washing clothes with laundry detergent,0
6713,He uses a basin to hold a whale.,1
6714,People can see things in the light,0
6715,Waste paper can be recycled,0
6716,He clamped walnuts with pliers,0
6717,Fire is very cold.,1
6718,Bleaching agents can bleach,0
6719,Linda is driving a car.,0
6720,Chinese is the most widely used language in the world,0
6721,Ton brushes his teeth with a toothbrush,0
6722,Fucv's eating stone,1
6723,Linlin goes to school by bus.,0
6724,Sam is listening to the teacher.,0
6725,Ton's drawing with rubber.,1
6726,Chalk contain knowledge,1
6727,Water heaters can heat water.,0
6728,Animals can photosynthesize,1
6729,Lions blood sucking,1
6730,sheep are grazing.,0
6731,Cactus is drinking water,1
6732,Headphones can play music.,0
6733,Bacteria is singing,1
6734,He wiped things with toilet paper.,0
6735,Vehicles are powered by water,1
6736,People are dancing.,0
6737,Trees are making movies.,1
6738,He's cutting with a paper,1
6739,People live on the moon,1
6740,Trees contain radiation,1
6741,Iron and steel can be recycled,0
6742,Air cushion has cushioning effect,0
6743,Coke is a carbonated drink,0
6744,Wood boards are made of trees.,0
6745,Seawater can be synthesized,1
6746,He drove the car into the box.,1
6747,He is posting mountains.,1
6748,farmer islitigation,1
6749,Salt can provide energy.,1
6750,sea is hot.,1
6751,Cement contains protein,1
6752,He's operating with a scalpel.,0
6753,Stone is rich in nutrition.,1
6754,Rockets can explore space,0
6755,Driving needs leather shoes,1
6756,Table emit light.,1
6757,Cotton is a crop.,0
6758,He's stirring up vegetables.,0
6759,table can show the time.,1
6760,heart is a human organ.,0
6761,Bread is a kind of food.,0
6762,He deposited his money in the bank.,0
6763,Bacteria contain skin,1
6764,He is running.,0
6765,Scissor is a kind of furniture,1
6766,Universe Contains Air,1
6767,Toothpaste cleans the mouth,0
6768,He's drinking oil.,1
6769,Stomach pain is a disease,0
6770,Human beings can absorb solar energy,1
6771,Bullet-proof can block bullets,0
6772,Cold medicines can create hallucinations,1
6773,T-shirt can be unlocked,1
6774,Bob twisted the screw with pliers.,1
6775,Jhn is writing with a box,1
6776,Jerry's carrying things.,0
6777,Sam poured water into the mobile phone,1
6778,Tom put the battery in his cell phone.,0
6779,Tom threw the mountains into the basket.,1
6780,Bird's nest can be manufactured,1
6781,Pillow stuffed with cotton,0
6782,Bacteria's wearing pants.,1
6783,Tim carried money with his wallet.,0
6784,Bob's opening the door with a bread.,1
6785,Mosquitoes is cutting his hair.,1
6786,Mosquitoes sucking blood,0
6787,sheep are eating meat,1
6788,Red blood cells have hair,1
6789,lamp is sleeping.,1
6790,Calculator can shine,1
6791,Book has calculating function,1
6792,Air is a kind of furniture.,1
6793,Air is a natural product,0
6794,Plastics are not edible,0
6795,Bread is baked.,0
6796,toothbrush cleans the mouth.,0
6797,Paper is made of trees.,0
6798,moon revolves around the earth,0
6799,sheep is fierce.,1
6800,Snakes need hibernation,0
6801,Lion is a primate,1
6802,Leopard are cold-blooded animals.,1
6803,Ants are social animals.,0
6804,Trees purify the air,0
6805,Flying is the skill of birds,0
6806,Polar bears live in the Arctic,0
6807,Penguins can lay eggs,0
6808,He uses yogurt to ferment,1
6809,Yogurt contains fungi,0
6810,Computers need electricity,0
6811,Bicycles contain tyres,0
6812,schoolbag protects the head.,1
6813,Stone can show time.,1
6814,Automobiles need oil,0
6815,apple is a nut.,1
6816,Football is a natural discipline,1
6817,Yo-yo needs many people to cooperate,1
6818,Coffee is a drink,0
6819,Water provides energy.,1
6820,Jety's peeling apples.,1
6821,Sam lives in space.,1
6822,Jony's barbecuing with water.,1
6823,monkey is climbing the tree.,0
6824,Stick is sharp.,1
6825,noodle are used to sew clothes.,1
6826,Watch is a kind of furniture.,1
6827,He turned on the air conditioner with a remote control.,0
6828,Pipette used to absorb liquids.,0
6829,lamp is reciting composition.,1
6830,Mirrors can reflect light.,0
6831,They are married.,0
6832,He put the iron in the juicer,1
6833,Ocean is industrial products,1
6834,Iron can melt,0
6835,Fans have external hanging blades,1
6836,Tall is a disease,1
6837,Tom's cutting vegetables with sticks.,1
6838,Tim iced his drink in an refrigerator,0
6839,Carbonated drinks release gases,0
6840,Fire needs air,0
6841,monkey is cooking.,1
6842,He's frying vegetables in a pan.,0
6843,Bottles can hold liquids.,0
6844,Wastewater is rich in nutrients,1
6845,Plastics can protect against sunshine,1
6846,He was very angry.,0
6847,Lion are a kind of microorganism,1
6848,Lions are social animals.,0
6849,Tiger eat bamboo,1
6850,Antss are mammals.,1
6851,People eat wood,1
6852,Man invents language,0
6853,Bob treats dogs as pets.,0
6854,Bob put the knife in the bag.,1
6855,Bob put soybean milk in the refrigerator.,0
6856,temperature of the flame is very high.,0
6857,Ant's moving bricks.,1
6858,Leopards are decomposers,1
6859,Hippos have patterns,1
6860,He's wearing table,1
6861,Washing detergent can damage skin,0
6862,He's cutting iron.,1
6863,English characters have partial radicals,1
6864,The glasses case is for glasses.,0
6865,Tom eats food with pens.,1
6866,Jame puts earphone on her mouth.,1
6867,Animals drink tea every day.,1
6868,Jess wrapped the belt around her waist.,0
6869,The goldfish is kept in the fish tank.,0
6870,People play basketball with feet.,1
6871,Jan drinks perfume every day.,1
6872,Tony keeps a cat as a pet.,0
6873,Cats like to eat elephants.,1
6874,Cats like to catch lions.,1
6875,Jessie likes to bathe with bath cream.,0
6876,Tommy calls his friends on his game machine.,1
6877,Tom washes his face with a towel every day.,0
6878,People sleep in bed.,0
6879,Put the sunflowers in the refrigerator.,1
6880,People usually wash their clothes with toothpaste.,1
6881,People usually mop the floor with mops.,0
6882,Mom is cooking in the bedroom.,1
6883,Students study in the classroom.,0
6884,The teacher is lecturing in the classroom.,0
6885,People feed the baby milk powder.,0
6886,People feed the hamsters nuts.,0
6887,Put the carrots in the fridge.,0
6888,Tony goes to school by spaceship.,1
6889,Tony rode his bicycle across the Atlantic.,1
6890,Jessie listens to music through her watch.,1
6891,Jessie slept with her head on the pillow.,0
6892,The fields were covered with sunflowers.,0
6893,There are many cats in the sea.,1
6894,Make a table out of foam.,1
6895,The singer sings with a remote control.,1
6896,Toothpaste is used to clean teeth.,0
6897,There are many fish in the sea.,0
6898,There are many elephants in the forest.,0
6899,There are many birds flying in the sky.,0
6900,Write on the blackboard with chalk.,0
6901,Brush your hair with a toothbrush.,1
6902,People use rice for drinks.,1
6903,Build a house out of water.,1
6904,Chickens like to eat turtles.,1
6905,People put rice in a bowl.,0
6906,Eating junk food is good for our health.,1
6907,We can hang our wet clothes in the bedroom.,1
6908,He palys football on the playground,0
6909,The chef cuts vegetables with a kitchen knife,0
6910,Birds fly in the sea,1
6911,Bicycles need oil,1
6912,He writes with a bottle,1
6913,We can brush our teeth with a mirror,1
6914,We need bread on rainy days.,1
6915,Table lamps can be used for lighting.,0
6916,Playing table tennis requires a table tennis racket.,0
6917,We can listen to music with mouse.,1
6918,He cut the rope with scissors.,0
6919,He planted a tree.,0
6920,He saw many cultural relics in museum.,0
6921,There are elephants in the zoo,0
6922,He washed his face with mud.,1
6923,He often watered the chair.,1
6924,pigs lay eggs.,1
6925,Computers catch mice,1
6926,Many people like to keep bottles.,1
6927,The teacher writes on the blackboard.,0
6928,He baked bread in a refrigerator.,1
6929,There are many planes in dining room.,1
6930,He washed his clothes with an iron.,1
6931,The train is running on the rails,0
6932,Ships sail on water.,0
6933,Dogs like to eat bones,0
6934,Cats like to eat bones,1
6935,Mouse is a harmful animal,0
6936,Duck can fly,1
6937,Giraffe has a long neck,0
6938,Crocodile can swim in the water,0
6939,We go to the zoo to see pandas on weekends.,0
6940,Roosters crow in the morning,0
6941,I saw an ant moving a leaf,0
6942,Cows like to eat stones,1
6943,I saw an airplane flying in the sky.,0
6944,I saw a motorcycle driving on the road.,0
6945,I bought a Porsche 911 for thirty dollars.,1
6946,I take a boat across the English Channel.,0
6947,The police shot a robber with a gun,0
6948,The doctor injected a needle of anesthesia before the operation,0
6949,The teacher is teaching mental patients to solve math problems,1
6950,A construction engineer is planning how to build the building,0
6951,Students learn how to make airplanes in school,0
6952,"When we are tired, we will lie on the keyboard and take a break.",1
6953,Watching comedy movies is a relaxing activity.,0
6954,Smoking is good to health,1
6955,Teenagers can try drugs,1
6956,The best way to resolve a dispute is talking,0
6957,Fruit is good for our body,0
6958,Bread can give us a lot of water,1
6959,Coffee will make people very awake,0
6960,Drinking milk will make us grow shorter,1
6961,Eating beef will make people stronger,0
6962,Islam people like to eat pork,1
6963,Programmers can develop drugs,1
6964,In the summer we use air conditioning to make ourselves cooler.,0
6965,We drink water with the desk,1
6966,We read books to acquire knowledge.,0
6967,There are many fish in the lake.,0
6968,There are many cars on the road.,0
6969,The car is powered by wind.,1
6970,Fruits may grow on trees.,0
6971,Pollen needs bees to spread,0
6972,Cattle graze to grow,0
6973,We use earphones to play games,1
6974,We write on paper with pens,0
6975,We use pen to open doors.,1
6976,We can't live without Internet,1
6977,The refrigerator does not work without water.,1
6978,Bees eat pollen to produce honey,0
6979,Curtains can block electromagnetic waves,1
6980,Clock can show time,0
6981,We practice swimming in the basketball court.,1
6982,Shoes can prevent feet from being scratched.,0
6983,I bought a suitcase at the mall,0
6984,We can program on the computer,0
6985,People use cars to keep in touch with friends thousands of miles away,1
6986,We went to the restaurant to cure the disease,1
6987,There is a lot of water in the swimming pool,0
6988,Recyclable garbage can be recycled and reused.,0
6989,I am in China. I go to Russia by train.,0
6990,I go to the zoo to see lions on weekends.,0
6991,Women can give birth to children,0
6992,I saw a monkey doing math problems,1
6993,I saw spiderman spraying silk,0
6994,Whale don't need to come up to breathe,1
6995,I often eat pizza to keep healthy,1
6996,The sedan can carry about thirty people,1
6997,High-speed trains are faster than trains,0
6998,Everyone likes the smell of peaches,0
6999,We go to the library to work out our bodies,1
7000,People die without drinking water,0
7001,Tom put his clothes up in the kitchen.,1
7002,Mother hung her clothes on the wire.,1
7003,The calendar shows the time.,1
7004,The electric fan can blow.,0
7005,Cartons can be recycled.,0
7006,A ruler is used to draw a circle.,1
7007,Sunglasses are worn on the eyeballs.,1
7008,Sweaters are worn on the legs.,1
7009,Garbage bags are used to put garbage.,0
7010,Daisy slept with the doll in his arms.,0
7011,Peanut oil can be used to repel mosquitoes.,1
7012,Chopsticks are pinned to the hair.,1
7013,The watch is worn on the wrist.,0
7014,I wear a pair of gloves on my head.,1
7015,Stone can be used to build ships.,1
7016,People sleep with their eyes open,1
7017,He was sad that his mobile phone had been lost.,0
7018,Deaf people like to listen to beautiful music,1
7019,Peter likes to eat white paper very much.,1
7020,He likes to read carefully in the library.,0
7021,Coke is indispensable for human existence,1
7022,Peter needs to dress when he sleeps.,1
7023,My mother hates me very much.,1
7024,"Dad hasn't been home for a long time, so I miss him very much.",0
7025,Girls usually like Barbie dolls.,0
7026,He feels funny when he watches horror movies.,1
7027,I like to play with my friends on the grassland.,0
7028,Herdsmen feed their cattle every day,0
7029,I usually like to cross the strait by car.,1
7030,Proper exercise is good for health,0
7031,We can take things by a nose.,1
7032,Pens are made of wood.,1
7033,There are countless suns in the sky,1
7034,Aircraft need to be charged to fly,1
7035,Nurses work in hospitals,0
7036,We can take the train for free.,1
7037,The human body is very cold.,1
7038,He likes to travel in his car on holidays.,0
7039,Peter was very happy to be admitted to a good university.,0
7040,I like changing clothes in my bedroom.,0
7041,Peter and his pet are playing basketball,1
7042,Dogs can fly freely in the sky,1
7043,He likes to drink gasoline very much.,1
7044,"He was hungry, so he went to the hospital.",1
7045,Drugs are harmful to human health,1
7046,I go to the kitchen to take a bath every morning.,1
7047,The moon revolves around the earth,0
7048,Pilots need to work on the trains every day.,1
7049,Jupiter brings us light and heat.,1
7050,The knife will fall from the sky,1
7051,"When there is a conflict with a friend, it should be solved by fighting.",1
7052,"My father was ill, so I went to the hospital to see him.",0
7053,People can travel by bird.,1
7054,Pens need to absorb ink before they can be used.,0
7055,People who lose weight should eat fewer cakes,0
7056,Birds usually nest in the sea.,1
7057,Mineral water contains a lot of salt.,1
7058,There are many trees on earth.,0
7059,"He is a thief, so he is very honored.",1
7060,We should listen to the teacher carefully in class.,0
7061,The library is a very quiet place.,0
7062,Cats and mice are good friends,1
7063,There is usually much wildlife in cities.,1
7064,People will probably see a polar bear in their garden.,1
7065,Bees usually live in the soil.,1
7066,I like swimming in the pool.,0
7067,Monkeys can climb trees.,0
7068,He did surgery in the kitchen.,1
7069,People like to eat flying insects in the sky,1
7070,Man can absorb carbon dioxide and release oxygen.,1
7071,Peter likes to put his pet dog in a suitcase.,1
7072,We can use the money to buy things in the supermarket.,0
7073,My brother likes to wear skirts.,1
7074,"In winter, we should wear down clothes to resist the cold.",0
7075,We can go out on sunny days.,0
7076,Laziness may lead us to success,1
7077,Peter bought a rabbit and planted him in the garden.,1
7078,My rabbit likes radish,0
7079,He turned on the tap and let vinegar out to take a bath.,1
7080,High visibility in foggy weather,1
7081,Soldiers must obey the commander's orders,0
7082,The dog likes wagging its tail.,0
7083,Peter was arrested by the police after his crime.,0
7084,Bamboo is a kind of tree.,1
7085,Terrorism affects world Peace,0
7086,Man can have many arms.,1
7087,Twins must have the same interests.,1
7088,The shape of the sun changes with time.,1
7089,We need water for the barbecue.,1
7090,We can find Asia on the map of the world.,0
7091,I like to drive by hand.,0
7092,I used my mobile phone to call my father.,0
7093,We can go to the store and buy a new dress.,0
7094,He likes to go to school with his bookcase on his back.,1
7095,Trees usually grow taller than roses.,0
7096,I like to bathe in the sun during the day.,0
7097,Earthquake is a terrible man-made disaster,1
7098,"When people are happy, they shed sad tears.",1
7099,The bird flew into the classroom through the window.,0
7100,We usually sleep in bed.,0
7101,People sweat after strenuous exercise,0
7102,People can usually travel by civil aviation.,0
7103,We can use computers to log on to the Internet.,0
7104,He put a little lime in the soup.,1
7105,He wants to drink water because he is very thirsty.,0
7106,Fast food is very unhealthy.,0
7107,I go to the Shopping Mall every morning for breakfast.,1
7108,"When I go to bed at night, I close the doors and windows.",0
7109,I like to park my car in the garage.,0
7110,"He felt very hot, so he turned on the air conditioner.",0
7111,"When you are injured, you should go to the hospital for treatment.",0
7112,I got to know Peter's idea by looking him in the eye.,1
7113,I like to go to restaurants to read books.,1
7114,People usually mop the floor with mops.,0
7115,Bears hibernate in winter,0
7116,I hate my teacher very much.,1
7117,Fish can't live without water,0
7118,There are many tall trees in the desert.,1
7119,Honesty and trustworthiness are good qualities,0
7120,He needs to buy a cake for his lunch.,0
7121,"He ran fastest, so he was the last to cross the finish line.",1
7122,Convenience stores usually sell some cars.,1
7123,We can put our shoes in the shoebox.,0
7124,There may be a big city on earth.,0
7125,Explorers usually like to explore in zoos,1
7126,People watch the sunrise at dusk,1
7127,I like to use my shoes to talk to my friends in the distance.,1
7128,He saw a yak while traveling on the grassland.,0
7129,Sandstorms often occur in deserts.,0
7130,Myopic people need a pair of sunglasses,1
7131,Cats like catching mice,0
7132,Apple is a very sweet fruit.,0
7133,Children like to go to hospitals for treatment.,1
7134,Spacecraft can travel on rail,1
7135,Peter needs to fold his quilt when he gets up in the morning,0
7136,"After the fracture, I'll go to the gym for treatment.",1
7137,Drinking and driving is responsible behavior.,1
7138,Peter likes to go to the zoo to see tigers.,0
7139,Make-up can make you more beautiful,0
7140,The duty of a soldier is to protect his family and his country.,0
7141,Thinking can make people dull,1
7142,Peter bought a giant panda as his pet,1
7143,"Peter doesn't like bathing, so he's very dirty.",0
7144,The teacher wrote on the blackboard with a pen,1
7145,There will be no breathing after death.,0
7146,Ostriches like to run on land,0
7147,Little sheep like to eat grass,0
7148,I like to go for a walk in the park.,0
7149,"Peter helped the other students, so he was scolded by his teacher.",1
7150,I work 300 days a year.,0
7151,I saw a rabbit racing past.,0
7152,The sun looks very square.,1
7153,I usually have lunch with a comb.,1
7154,I like going to the cinema to listen to movies.,1
7155,I opened the door and let my elephant in.,1
7156,People can drink fresh water.,0
7157,Gloves protect your hands from the cold,0
7158,Leaves begin to turn green in autumn.,1
7159,I can see the aurora at the equator,1
7160,Girls prefer to wear high heels,0
7161,A man has a longer neck than the giraffe.,1
7162,Cats swim fast in the water.,1
